kleyna_ID,kleyna_V,Gaia_source_id,kleyna_RA_hours,kleyna_RA_min,kleyna_RA_sec,kleyna_RA_degs,kleyna_Dec_deg,kleyna_Dec_min,kleyna_Dec_s,kleyna_Dec_degs,kleyna_v_helio,kleyna_v_err,kleyna_RTD,kleyna_RA_deg,kleyna_Dec_deg,Gaia_ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,ruwe
57,17.23,1.43322E+18,17,18,52.15,259.7172917,58,4,13,58.07027778,-295.45,0.75,15.8,259.7172917,58.070278,259.7151399,0.01546996,58.07183509,0.019891143,0.903185099,0.0174323,51.811012,10.959419,-5.329467465,0.021215916,9.576306774,0.02598405,0.13176417,-0.09040542,-0.06746223,-0.041010194,0.22293721,-0.14151916,-0.5724875,-0.33270872,-0.30579934,0.24470659,0.9365246
84,18.79,1.43322E+18,17,18,35.67,259.648625,58,0,50.1,58.01391667,-289.61,3.3,2.4,259.648625,58.013917,259.6458381,0.05997253,58.01212567,0.071861215,0.468004035,0.07103899,6.5879884,21.885778,-5.485556626,0.08307711,21.18716516,0.107939266,0.23218767,-0.054242637,-0.003583998,-0.045925822,0.2532312,-0.16618893,-0.36804926,-0.2762757,-0.47408348,0.4100982,0.9722329
206,19.25,1.43316E+18,17,21,35.42,260.3975833,57,54,59.5,57.91652778,-296.36,2.9,2.4,260.3975833,57.916528,260.3985394,0.19515727,57.9180723,0.18066768,2.347263262,0.20874794,11.244486,5.6973124,1.305928256,0.23050381,-5.545621679,0.25556856,0.015791211,-0.34486791,0.09664258,0.24729207,0.06660523,0.10556835,-0.07092893,-0.35522383,-0.28263396,0.15910128,1.0537488
222,18.34,1.43316E+18,17,19,57.73,259.9905417,57,54,35.3,57.90980556,-296.41,1.04,10.4,259.9905417,57.909806,259.9933146,0.025683826,57.91215532,0.025279153,0.242789544,0.02646962,9.172385,5.39982,0.181906291,0.03441831,-5.396755043,0.03871046,0.13092221,-0.000711619,0.094003305,0.0604079,0.12911376,0.022167573,-0.08606963,-0.17640285,-0.2497789,0.23154822,0.99722624
351,18.02,1.43314E+18,17,21,39.42,260.41425,57,46,40.4,57.77788889,-310.59,1.32,7.7,260.41425,57.777889,260.4180213,0.15195139,57.77845268,0.14839254,0.86995224,0.15682569,5.547256,11.742934,0.950725643,0.18913645,-11.70438455,0.21153235,0.121463865,-0.29626796,0.2438749,0.29849792,-0.017044213,0.20730644,0.034749877,-0.28611076,-0.29033402,0.22762573,1.0525669
383,17.93,1.43305E+18,17,18,43.05,259.679375,57,38,50.1,57.64725,-296.48,0.76,14.2,259.679375,57.64725,259.6783234,0.08291705,57.64950589,0.07874597,1.180109363,0.08604984,13.714253,24.261827,-6.667930706,0.10227564,23.32755773,0.11265039,0.065686494,0.027187817,0.21331379,0.035652086,-0.03788877,0.038095515,-0.13247322,-0.10037681,-0.3610935,0.1273224,1.0652968
400,17.99,1.43313E+18,17,19,31.97,259.8832083,57,33,35.3,57.55980556,-309.02,1.78,4.3,259.8832083,57.559806,259.8820591,0.02428922,57.56124654,0.0226328,0.901313561,0.02404181,37.489426,5.4586577,-1.959106352,0.03299328,-5.094982741,0.030298406,0.023472508,-0.09469843,0.11042768,0.14196107,0.025942823,0.10472222,-0.13151367,-0.08663339,-0.24319865,0.13500668,1.0044312
174,18.4,1.4332E+18,17,19,53.52,259.9729999,57,56,16.5,57.93791667,-295.86,1.38,7.5,259.973,57.937917,259.9726965,0.087940946,57.93788154,0.090793096,-0.007142322,0.09320921,-0.0766268,0.2720006,0.031621732,0.121399745,-0.270156222,0.14013271,0.07255269,-0.13704656,0.091695614,0.06715016,0.10022011,0.007312908,-0.15589829,-0.23846841,-0.18819593,0.15137973,1.0162816
201,18.36,1.43316E+18,17,19,57.37,259.9890416,57,55,4.8,57.918,-306.26,1.88,5.5,259.9890417,57.918,259.9887444,0.08458881,57.91792405,0.09259458,0.063520332,0.09322786,0.681345,0.1651871,-0.003106106,0.115957074,-0.165157894,0.14384429,0.07074641,-0.14914577,0.043012053,0.1617863,0.043612156,0.09066666,-0.13460654,-0.32397956,-0.15331653,0.19083928,1.0442388
203,19.64,1.43316E+18,17,20,15.9,260.06625,57,55,2.9,57.91747222,-303.53,5.17,1.1,260.06625,57.917472,260.0660727,0.22373964,57.91743913,0.22441156,-0.103033295,0.2355085,-0.4374929,0.4816512,-0.224440017,0.29737708,-0.426162578,0.34282097,0.05261788,-0.18026109,0.070114605,0.10557868,0.101541236,0.027417975,-0.12783694,-0.23969212,-0.20435774,0.17366496,1.0015105
223,18.83,1.43316E+18,17,20,7.52,260.0313333,57,54,32.8,57.90911111,-299.08,1.89,4.8,260.0313333,57.909111,260.0310527,0.10768021,57.90906565,0.11140165,0.151824231,0.11778756,1.2889667,0.2797289,0.206767782,0.14180887,-0.188402096,0.1659073,0.069642834,-0.1601955,0.051128663,0.11912735,0.18539318,0.013148506,-0.08144342,-0.2847727,-0.23597494,0.22333813,1.0367777
245,18.23,1.43316E+18,17,19,55.86,259.98275,57,53,48.8,57.89688889,-293.61,1.43,7.3,259.98275,57.896889,259.9824025,0.074532524,57.89684233,0.077395715,0.046526482,0.07977796,0.5831997,0.2908747,0.029352913,0.100027084,-0.289389903,0.12084854,0.11095776,-0.13720587,0.012754693,0.087008856,0.14946762,0.00100408,-0.13502306,-0.2479826,-0.2290689,0.25290483,1.0008763
254,19.64,1.43316E+18,17,19,56.29,259.9845417,57,53,29.7,57.89158333,-296.04,4.48,1.1,259.9845417,57.891583,259.9842928,0.1877089,57.89149016,0.21575558,-0.078347194,0.21107247,-0.3711862,0.1276529,0.053769219,0.250148,-0.115776194,0.32691312,0.12213812,-0.12763692,0.032314807,0.07050057,0.111077115,-0.011167531,-0.20387493,-0.28631875,-0.24346773,0.2502455,1.0123318
265,18.68,1.43316E+18,17,19,57.1,259.9879167,57,52,58.1,57.88280556,-272.54,1.68,5.7,259.9879167,57.882806,259.9875953,0.103427075,57.88272222,0.1072777,0.057057416,0.11078491,0.5150288,0.2016953,0.045166008,0.13569565,-0.196573214,0.16403508,0.13671374,-0.13156757,0.077554345,0.0755898,0.1779808,-0.013123078,-0.10276877,-0.2302935,-0.25373608,0.28347284,1.0491757
